datetime,Open,High,Low,Close,Volume
2024-06-13 15:47:00,66525.6,66672.27,66506.79,66660.91,0.72981226
2024-06-13 15:48:00,66609.55,66609.55,66491.3,66498.24,1.03797408
2024-06-13 15:49:00,66481.4,66604.14,66481.4,66604.14,0.41827574
2024-06-13 15:50:00,66576.29,66576.29,66499.86,66543.59,0.29725953
2024-06-13 15:51:00,66522.95,66581.26,66522.95,66561.63,0.361492
2024-06-13 15:52:00,66554.88,66629.05,66551.4,66551.4,1.35369512
2024-06-13 15:53:00,66556.4,66583.02,66518.82,66518.82,0.5039879
2024-06-13 15:54:00,66502.72,66510.32,66476.41,66502.42,1.15049729
2024-06-13 15:55:00,66505.17,66532.2,66487.29,66513.55,0.23265669
2024-06-13 15:56:00,66522.84,66522.84,66422.48,66434.22,0.07946952
2024-06-13 15:57:00,66441.55,66455.48,66351.0,66385.96,1.48942133
2024-06-13 15:58:00,66391.66,66449.57,66383.18,66387.53,1.67911042
2024-06-13 15:59:00,66403.42,66476.31,66403.42,66467.95,2.12581696
2024-06-13 16:00:00,66429.24,66514.35,66429.24,66501.91,0.14233026
2024-06-13 16:01:00,66530.32,66535.01,66418.39,66418.39,0.46349502
2024-06-13 16:02:00,66386.78,66400.16,66304.26,66337.42,0.58621377
2024-06-13 16:03:00,66300.0,66370.08,66240.25,66327.44,2.38456867
2024-06-13 16:04:00,66329.23,66433.48,66318.45,66409.73,2.24256562
2024-06-13 16:05:00,66417.64,66601.69,66414.96,66588.07,1.10794062
2024-06-13 16:06:00,66602.52,66718.85,66596.84,66673.86,3.5935318
2024-06-13 16:07:00,66691.15,66691.15,66585.28,66585.28,0.25802271
2024-06-13 16:08:00,66631.32,66631.36,66592.72,66624.76,0.79884869
2024-06-13 16:09:00,66632.78,66632.78,66613.47,66624.82,0.4248334
2024-06-13 16:10:00,66596.51,66644.52,66596.49,66625.78,0.20109849
2024-06-13 16:11:00,66651.92,66812.43,66651.92,66679.99,3.46204831
2024-06-13 16:12:00,66693.67,66754.21,66693.67,66724.76,0.32253887
2024-06-13 16:13:00,66731.31,66743.01,66699.93,66732.29,1.21492096
2024-06-13 16:14:00,66719.76,66751.53,66700.92,66708.85,0.14181958
2024-06-13 16:15:00,66683.76,66736.16,66664.46,66671.52,0.21831682
2024-06-13 16:16:00,66667.29,66733.87,66651.24,66700.91,0.73956407
2024-06-13 16:17:00,66717.71,66726.78,66714.59,66721.45,0.14691983
2024-06-13 16:18:00,66723.2,66790.96,66723.2,66789.44,1.00780949
2024-06-13 16:19:00,66748.82,66781.27,66696.33,66696.33,1.00776917
2024-06-13 16:20:00,66710.23,66802.49,66710.23,66802.49,0.8934536
2024-06-13 16:21:00,66795.19,66821.53,66734.18,66734.18,0.57690748
